63252,1920,Lithobates_clamitans_ssp._clamitans,Amphibians,22020
2921882,11739,Gobiocypris_rarus,Fish,310
121755,21,Cyprinus_carpio,Fish;Standard Test Species,6030
2921882,1654,Leuresthes_tenuis,Fish,5.5
63252,1,Pimephales_promelas,Fish;Standard Test Species,7220
121755,202,Labeo_rohita,Fish,4.5
63252,38,Perca_flavescens,Fish,3400
63252,65263,Palaemon_pugio,Crustaceans;Standard Test Species,31
1563662,27,Gammarus_pseudolimnaeus,Crustaceans;Standard Test Species,3.76
2921882,4668,Eriocheir_sinensis,Crustaceans;U.S. Invasive Species,54.7
2921882,27645,Tuta_absoluta,Insects/Spiders;U.S. Invasive Species,1956000
63252,11660,Oncorhynchus_gilae_ssp._apache,Fish;U.S. Threatened and Endangered Species,2500
121755,39,Palaemonetes_kadiakensis,Crustaceans,150
1563662,572,Gibelion_catla,Fish,1310
121755,964,Chironomus_riparius,Insects/Spiders;Standard Test Species,265
2921882,513,Orconectes_immunis,Crustaceans,6
121755,97,Gasterosteus_aculeatus,Fish;Standard Test Species,76.9
1563662,5663,Tanypus_bilobatus,Insects/Spiders,1590
2921882,30454,Propylaea_japonica,Insects/Spiders,42470
2921882,2805,Neoplea_striola,Insects/Spiders,3.17
2921882,230,Aedes_aegypti,Insects/Spiders;Standard Test Species,21.2
63252,25704,Tetragnatha_maxillosa,Insects/Spiders,1275000
121755,34,Oncorhynchus_clarkii,Fish,500
2921882,2079,Clarias_gariepinus,Fish,1662
63252,3,Salvelinus_fontinalis,Fish;Standard Test Species,1100
63252,1,Pimephales_promelas,Fish;Standard Test Species,7100
121755,134,Oreochromis_mossambicus,Fish,8520
2921882,25084,Alabama_argillacea,Insects/Spiders,2000
121755,71,Mugil_cephalus,Fish,550
2921882,730,Palaemon_serratus,Crustaceans,0.35
1563662,2,Lepomis_macrochirus,Fish;Standard Test Species,3100
1563662,201,Ctenopharyngodon_idella,Fish;U.S. Invasive Species,2710
121755,79,Pteronarcella_badia,Insects/Spiders,1.1
2921882,230,Aedes_aegypti,Insects/Spiders;Standard Test Species,69.5
63252,50,Caecidotea_brevicauda,Crustaceans,280
121755,19175,Nemacheilus_angorae,Fish,3023.7
2921882,16175,Spodoptera_litura,Insects/Spiders,29100
121755,397,Culex_quinquefasciatus,Insects/Spiders,1890
63252,2,Lepomis_macrochirus,Fish;Standard Test Species,22000
121755,2766,Barytelphusa_cunicularis,Crustaceans,3780
63252,2989,Cambarus_bartonii,Crustaceans,1010
121755,5940,Utterbackia_imbecillis,Molluscs;Standard Test Species,40000
2921882,4808,Dicrotendipes_californicus,Insects/Spiders,40
2921882,29537,Aedes_togoi,Insects/Spiders,0.48
63252,2066,Upogebia_pugettensis,Crustaceans,90
121755,39,Palaemonetes_kadiakensis,Crustaceans,100
121755,964,Chironomus_riparius,Insects/Spiders;Standard Test Species,111.7
121755,609,Asellus_aquaticus,Crustaceans,60000
63252,2989,Cambarus_bartonii,Crustaceans,6120
121755,1191,Katelysia_opima,Molluscs,6
2921882,11531,Plutella_xylostella,Insects/Spiders,2175780
2921882,18938,Earias_insulana,Insects/Spiders,13500
2921882,397,Culex_quinquefasciatus,Insects/Spiders,0.3
63252,25,Carassius_auratus,Fish;Standard Test Species,13900
121755,807,Atherix_variegata,Insects/Spiders,385
2921882,1252,Sialis_lutaria,Insects/Spiders,327
121755,11921,Gammarus_palustris,Crustaceans,26000
121755,4,Oncorhynchus_mykiss,Fish;Standard Test Species;U.S. Threatened and Endangered Species,234
2921882,16657,Cydia_pomonella,Insects/Spiders,67500
63252,53,Orconectes_nais,Crustaceans,34
63252,19239,Bombina_orientalis,Amphibians,20100
2921882,483,Chaoborus_punctipennis,Insects/Spiders,5.4
2921882,1183,Chironomus_decorus,Insects/Spiders,46
2921882,2371,Ceriodaphnia_dubia,Crustaceans;Standard Test Species,0.055
2921882,4550,Caenorhabditis_elegans,Worms;Standard Test Species,966
63252,4,Oncorhynchus_mykiss,Fish;Standard Test Species;U.S. Threatened and Endangered Species,800
121755,230,Aedes_aegypti,Insects/Spiders;Standard Test Species,73.83
1563662,1,Pimephales_promelas,Fish;Standard Test Species,872
121755,2355,Anura,Amphibians,5000
63252,56608,Cylindrocopturus_eatoni,Insects/Spiders,6680
121755,6,Gammarus_lacustris,Crustaceans;Standard Test Species,3.8
121755,71,Mugil_cephalus,Fish,960
121755,397,Culex_quinquefasciatus,Insects/Spiders,47
63252,31613,Euphlyctis_hexadactylus,Amphibians,150000
2921882,1,Pimephales_promelas,Fish;Standard Test Species,140
2921882,17522,Nilaparvata_lugens,Insects/Spiders,10400
63252,361,Orconectes_virilis,Crustaceans,4420
63252,79,Pteronarcella_badia,Insects/Spiders,13
1563662,4707,Tigriopus_brevicornis,Crustaceans;Standard Test Species,17.7
63252,144,Alosa_sapidissima,Fish,80
63252,25,Carassius_auratus,Fish;Standard Test Species,23800
63252,422,Cirrhinus_mrigala,Fish,4770
2921882,48206,Nothobranchius_furzeri,Fish,27481
63252,27,Gammarus_pseudolimnaeus,Crustaceans;Standard Test Species,7
121755,30614,Euphlyctis_cyanophlyctis,Amphibians,3588
2921882,3015,Chaoborus_obscuripes,Insects/Spiders,6.6
63252,418,Channa_punctata,Fish,8560
2921882,2469,Chironomus_crassicaudatus,Insects/Spiders,52
121755,4910,Apis_mellifera,Insects/Spiders;Standard Test Species,7110
2921882,372,Gammarus_pulex,Crustaceans;Standard Test Species,0.43
2921882,11921,Gammarus_palustris,Crustaceans,6.51
1563662,406,Procambarus_acutus_ssp._acutus,Crustaceans,500
2921882,5156,Danio_rerio,Fish;Standard Test Species,119700
2921882,375,Menidia_menidia,Fish;Standard Test Species,0.6
63252,5847,Brachythemis_contaminata,Insects/Spiders,0.01449
121755,4788,Culex_pipiens_ssp._fatigans,Insects/Spiders,28.5
2921882,230,Aedes_aegypti,Insects/Spiders;Standard Test Species,114
63252,11783,Oncorhynchus_clarkii_ssp._stomias,Fish;U.S. Threatened and Endangered Species,1553
63252,3,Salvelinus_fontinalis,Fish;Standard Test Species,5000
121755,964,Chironomus_riparius,Insects/Spiders;Standard Test Species,124.3
63252,4910,Apis_mellifera,Insects/Spiders;Standard Test Species,42440
2921882,81,Chironomus_plumosus,Insects/Spiders,236.1
121755,49914,Farfantepenaeus_duorarum,Crustaceans;Standard Test Species,12
121755,16,Gambusia_affinis,Fish,1230
63252,21,Cyprinus_carpio,Fish;Standard Test Species,7850
121755,640,Lumbriculus_variegatus,Worms;Standard Test Species,20500
121755,1673,Culex_nigripalpus,Insects/Spiders,38.9
63252,2514,Acipenser_brevirostrum,Fish;U.S. Threatened and Endangered Species,1949
121755,964,Chironomus_riparius,Insects/Spiders;Standard Test Species,21000
2921882,2,Lepomis_macrochirus,Fish;Standard Test Species,2.67
2921882,16175,Spodoptera_litura,Insects/Spiders,2780
63252,1,Pimephales_promelas,Fish;Standard Test Species,7360
63252,2389,Macrobrachium_lamarrei,Crustaceans,36.1
2921882,16837,Spodoptera_exigua,Insects/Spiders,289000
2921882,230,Aedes_aegypti,Insects/Spiders;Standard Test Species,10
63252,34,Oncorhynchus_clarkii,Fish,6800
121755,34,Oncorhynchus_clarkii,Fish,174
63252,521,Procambarus_simulans_ssp._simulans,Crustaceans,2430
121755,230,Aedes_aegypti,Insects/Spiders;Standard Test Species,217
121755,4,Oncorhynchus_mykiss,Fish;Standard Test Species;U.S. Threatened and Endangered Species,96
121755,32073,Bactrocera_zonata,Insects/Spiders,440
121755,1770,Aedes_albopictus,Insects/Spiders;U.S. Invasive Species,50
